;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.03;5.822;1.498;0.9874
1;12.67;5.818;1.498;0.9853
2;13.02;5.812;1.498;0.9843
3;13.08;5.81;1.496;0.9832
4;13.09;5.816;1.495;0.9817
5;13.09;5.843;1.495;0.9827
6;13.1;5.888;1.5;0.9859
7;13.11;5.925;1.502;0.989
8;13.12;5.945;1.501;0.9922
9;13.16;5.956;1.505;1.001
10;13.22;5.962;1.507;1.012
11;13.26;5.962;1.521;1.017
12;13.26;5.968;1.576;1.02
13;13.27;5.976;1.595;1.022
14;13.32;5.984;1.621;1.023
15;13.39;6.001;1.727;1.023
16;13.41;6.029;1.759;1.023
17;13.41;6.056;1.76;1.023
18;13.41;6.073;1.765;1.025
19;13.41;6.087;1.765;1.028
20;13.43;6.097;1.771;1.032
21;13.45;6.103;1.771;1.038
22;13.49;6.107;1.783;1.054
23;13.55;6.11;1.787;1.077
24;13.6;6.11;1.79;1.092
25;13.63;6.109;1.793;1.103
26;13.63;6.105;1.794;1.119
27;13.74;6.103;1.794;1.126
28;13.99;6.103;1.796;1.128
29;14.21;6.103;1.82;1.13
30;14.34;6.103;1.89;1.133
31;14.34;6.107;1.919;1.136
32;14.8;6.112;1.92;1.137
33;15.87;6.116;1.936;1.136
34;17.1;6.122;1.942;1.135
35;18.33;6.13;1.943;1.135
36;19.21;6.138;1.946;1.135
37;19.66;6.153;1.952;1.134
38;19.79;6.169;1.967;1.134
39;19.79;6.175;1.976;1.135
40;19.9;6.179;1.976;1.136
41;19.99;6.185;1.975;1.137
42;20.08;6.19;1.976;1.136
43;20.28;6.204;1.978;1.136
44;20.65;6.226;1.977;1.136
45;21.38;6.233;1.976;1.139
46;22.5;6.228;1.979;1.147
47;23.5;6.208;1.984;1.15
48;24.18;6.177;1.988;1.147
49;24.62;6.136;1.992;1.143
50;24.76;6.095;1.999;1.134
51;24.76;6.064;2.001;1.125
52;24.84;6.05;2.004;1.121
53;24.95;6.042;2.01;1.12
54;25.08;6.034;2.016;1.119
55;25.24;6.03;2.042;1.12
56;25.35;6.029;2.044;1.125
57;25.43;6.029;2.054;1.129
58;25.65;6.029;2.06;1.129
