;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;0.7273;4.003;12.06;1.688
1;0.7273;3.996;12.16;1.687
2;0.7318;3.986;12.26;1.691
3;0.7318;3.976;12.35;1.701
4;0.7318;3.965;12.45;1.714
5;0.7318;3.955;12.54;1.724
6;0.7318;3.945;12.63;1.73
7;0.7318;3.935;12.72;1.732
8;0.7318;3.931;12.81;1.731
9;0.7363;3.935;12.9;1.729
10;0.7407;3.938;12.99;1.732
11;0.7407;3.945;13.08;1.738
12;0.7363;3.952;13.17;1.744
13;0.7407;3.952;13.26;1.749
14;0.7407;3.941;13.36;1.752
15;0.7407;3.931;13.45;1.756
16;0.7407;3.921;13.55;1.764
17;0.7407;3.914;13.65;1.76
18;0.7452;3.9;13.76;1.753
19;0.7452;3.877;13.87;1.75
20;0.7452;3.839;13.98;1.748
21;0.7452;3.795;14.09;1.748
22;0.7452;3.76;14.21;1.748
23;0.7452;3.73;14.31;1.75
24;0.7452;3.696;14.42;1.753
25;0.7407;3.661;14.53;1.758
26;0.7407;3.624;14.64;1.761
27;0.7407;3.583;14.74;1.764
28;0.7407;3.549;14.84;1.764
29;0.7363;3.518;14.94;1.759
30;0.7363;3.497;15.04;1.754
31;0.7363;3.48;15.13;1.75
32;0.7363;3.474;15.22;1.748
33;0.7318;3.48;15.3;1.746
34;0.7318;3.487;15.38;1.746
35;0.7318;3.491;15.45;1.744
36;0.7318;3.494;15.52;1.745
37;0.7318;3.494;15.59;1.748
38;0.7318;3.491;15.65;1.748
39;0.7318;3.494;15.7;1.748
40;0.7318;3.494;15.75;1.749
41;0.7273;3.494;15.8;1.748
42;0.7273;3.491;15.85;1.749
43;0.7273;3.487;15.88;1.752
44;0.7228;3.487;15.92;1.756
45;0.7228;3.487;15.95;1.758
46;0.7228;3.487;15.98;1.759
47;0.7228;3.487;16.01;1.759
48;0.7228;3.484;16.03;1.757
49;0.7228;3.484;16.05;1.756
50;0.7228;3.484;16.07;1.756
51;0.7228;3.484;16.09;1.757
52;0.7228;3.484;16.1;1.76
53;0.7228;3.48;16.11;1.763
54;0.7228;3.48;16.12;1.763
55;0.7228;3.477;16.13;1.763
56;0.7228;3.474;16.14;1.763
57;0.7228;3.47;16.14;1.763
58;0.7228;3.463;16.14;1.764
59;0.7228;3.456;16.14;1.767
60;0.7228;3.45;16.14;1.769
61;0.7228;3.443;16.14;1.768
62;0.7228;3.443;16.14;1.768
63;0.7273;3.45;16.14;1.768
64;0.7318;3.453;16.13;1.768
65;0.7363;3.456;16.13;1.768
66;0.7407;3.46;16.12;1.768
67;0.7452;3.467;16.12;1.768
68;0.7497;3.467;16.11;1.771
69;0.7497;3.467;16.1;1.772
70;0.7497;3.467;16.1;1.773
71;0.7497;3.467;16.09;1.774
72;0.7497;3.463;16.09;1.775
73;0.7497;3.463;16.08;1.779
74;0.7497;3.463;16.07;1.787
75;0.7497;3.463;16.07;1.797
76;0.7542;3.463;16.06;1.803
77;0.7542;3.463;16.06;1.807
78;0.7542;3.463;16.06;1.811
79;0.7542;3.463;16.05;1.812
80;0.7542;3.463;16.05;1.811
81;0.7542;3.463;16.05;1.809
82;0.7497;3.463;16.04;1.809
83;0.7497;3.463;16.04;1.811
84;0.7497;3.467;16.04;1.809
85;0.7497;3.463;16.04;1.807
86;0.7542;3.46;16.04;1.807
87;0.7542;3.46;16.04;1.807
88;0.7587;3.46;16.04;1.809
89;0.7587;3.456;16.04;1.811
90;0.7587;3.453;16.04;1.813
91;0.7587;3.45;16.05;1.813
92;0.7587;3.446;16.05;1.813
93;0.7587;3.439;16.05;1.813
94;0.7587;3.433;16.06;1.813
95;0.7587;3.436;16.06;1.815
96;0.7587;3.439;16.06;1.817
97;0.7587;3.436;16.07;1.817
98;0.7587;3.433;16.08;1.817
99;0.7632;3.433;16.08;1.817
100;0.7677;3.433;16.09;1.819
101;0.7677;3.433;16.09;1.819
102;0.7722;3.433;16.1;1.818
103;0.7677;3.433;16.11;1.818
104;0.7677;3.429;16.11;1.817
105;0.7677;3.429;16.12;1.815
106;0.7677;3.429;16.12;1.813
107;0.7677;3.429;16.13;1.809
108;0.7677;3.433;16.13;1.799
109;0.7677;3.429;16.14;1.788
110;0.7677;3.426;16.14;1.778
111;0.7722;3.426;16.15;1.771
112;0.7722;3.426;16.15;1.768
113;0.7722;3.422;16.15;1.765
114;0.7722;3.419;16.15;1.763
