;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;0.5876;0.8761;0.4202;12.05
1;0.5819;0.8806;0.4194;12.05
2;0.5838;0.8776;0.4198;12.16
3;0.5838;0.8806;0.419;12.38
4;0.5838;0.8852;0.419;12.55
5;0.5838;0.8882;0.4198;12.67
6;0.5857;0.8927;0.4211;12.77
7;0.5838;0.8972;0.4215;12.86
8;0.5801;0.8972;0.4215;12.93
9;0.5819;0.8987;0.4215;12.99
10;0.5819;0.9077;0.4211;13.02
11;0.5819;0.9138;0.4198;13.02
12;0.5819;0.9138;0.4198;13.02
13;0.5801;0.9544;0.4198;13.06
14;0.5838;1.135;0.4198;13.19
15;0.5876;1.307;0.4211;13.32
16;0.5857;1.361;0.4311;13.48
17;0.5932;1.362;0.4337;13.86
18;0.6007;1.38;0.4358;14.27
19;0.6045;1.433;0.4362;14.47
20;0.6026;1.468;0.4362;14.59
21;0.6289;1.481;0.4475;14.69
22;0.7284;1.489;0.466;14.7
23;0.8297;1.495;0.4656;14.76
24;0.8785;1.496;0.4702;14.93
25;0.8823;1.493;0.471;15.1
26;0.8917;1.502;0.474;15.14
27;0.9198;1.523;0.4861;15.14
28;0.9311;1.532;0.4924;15.14
29;0.9367;1.535;0.4941;15.17
30;0.9386;1.537;0.4991;15.28
31;0.9499;1.538;0.4991;15.46
32;0.9874;1.549;0.5113;15.61
33;1.012;1.561;0.5201;15.67
34;1.038;1.581;0.5227;15.68
35;1.064;1.59;0.5302;15.69
36;1.068;1.59;0.547;15.7
37;1.07;1.614;0.6234;15.7
38;1.072;1.748;0.8526;15.85
39;1.076;1.995;0.9874;16.32
40;1.106;2.068;0.9878;16.88
41;1.16;2.192;1.077;17.19
42;1.181;2.278;1.154;17.29
43;1.181;2.293;1.171;17.35
44;1.183;2.293;1.173;17.5
45;1.183;2.293;1.176;17.68
46;1.186;2.294;1.187;17.72
47;1.224;2.305;1.194;17.72
48;1.297;2.321;1.194;17.72
49;1.429;2.327;1.194;17.73
50;1.626;2.329;1.197;17.78
51;1.746;2.332;1.2;18.53
52;1.776;2.383;1.201;19.6
53;1.774;2.589;1.207;19.9
54;1.793;2.878;1.216;19.9
55;1.862;3.015;1.22;19.94
56;1.935;3.026;1.225;19.95
57;1.965;3.03;1.23;19.95
58;1.975;3.042;1.232;19.95
59;1.984;3.056;1.233;19.96
60;1.984;3.066;1.237;19.96
61;1.997;3.068;1.236;19.96
62;2.016;3.069;1.239;19.96
63;2.046;3.075;1.248;19.97
64;2.127;3.091;1.266;20.05
65;2.151;3.154;1.274;20.23
66;2.183;3.306;1.274;20.42
67;2.326;3.498;1.274;20.53
68;2.487;3.706;1.277;20.58
69;2.611;3.94;1.301;20.59
70;2.649;4.183;1.357;20.6
71;2.651;4.466;1.426;20.78
72;2.651;4.835;1.532;21.18
73;2.651;5.227;1.714;21.61
74;2.651;5.498;1.891;21.96
75;2.653;5.589;2.017;22.18
76;2.662;5.597;2.159;22.29
77;2.673;5.598;2.32;22.33
78;2.688;5.627;2.421;22.35
79;2.694;5.668;2.473;22.58
80;2.696;5.677;2.516;22.92
81;2.699;5.677;2.539;23.16
82;2.705;5.678;2.543;23.26
83;2.705;5.678;2.543;23.27
84;2.705;5.68;2.546;23.27
85;2.707;5.68;2.581;23.33
86;2.713;5.68;2.654;23.5
87;2.718;5.681;2.701;23.61
88;2.724;5.681;2.723;23.61
89;2.739;5.683;2.745;23.69
90;2.788;5.693;2.765;23.88
91;2.891;5.71;2.779;23.98
92;3.013;5.713;2.794;23.98
93;3.099;5.717;2.824;24.07
94;3.148;5.744;2.866;24.21
95;3.18;5.797;2.903;24.37
96;3.189;5.857;2.942;24.43
97;3.189;5.898;2.991;24.43
98;3.204;5.934;3.02;24.45
99;3.212;5.979;3.035;24.78
100;3.229;6.035;3.07;25.67
101;3.274;6.122;3.131;26.04
102;3.319;6.31;3.177;26.04
103;3.343;6.609;3.216;26.2
104;3.358;6.899;3.257;26.48
105;3.36;7.104;3.282;26.86
106;3.36;7.242;3.291;27.06
107;3.36;7.348;3.295;27.07
108;3.366;7.423;3.296;27.09
109;3.375;7.44;3.297;27.1
110;3.385;7.443;3.3;27.11
111;3.388;7.459;3.307;27.18
112;3.392;7.492;3.316;27.24
113;3.392;7.551;3.329;27.24
114;3.392;7.605;3.346;27.24
115;3.392;7.625;3.353;27.24
116;3.392;7.629;3.353;27.29
117;3.392;7.629;3.353;27.42
118;3.394;7.646;3.365;27.51
119;3.396;7.694;3.372;27.56
120;3.396;7.756;3.377;27.59
121;3.422;7.805;3.398;27.59
122;3.584;7.81;3.429;27.65
123;3.95;7.847;3.498;27.72
124;4.301;8.021;3.583;27.72
125;4.462;8.326;3.626;27.74
126;4.477;8.727;3.639;28.02
127;4.496;9.133;3.646;28.73
128;4.547;9.473;3.646;29.4
129;4.573;9.741;3.648;29.69
130;4.579;9.92;3.651;29.71
131;4.586;10.0;3.656;29.78
132;4.661;10.02;3.68;29.93
133;4.783;10.02;3.717;30.02
134;4.868;10.03;3.736;30.08
135;4.903;10.05;3.749;30.11
136;4.903;10.09;3.772;30.11
137;4.958;10.19;3.793;30.11
138;5.125;10.3;3.804;30.12
139;5.283;10.45;3.814;30.33
140;5.375;10.62;3.821;31.1
141;5.44;10.71;3.821;31.99
142;5.493;10.75;3.822;32.43
143;5.525;10.83;3.822;32.51
144;5.553;10.98;3.821;32.51
145;5.587;11.14;3.822;32.52
146;5.607;11.29;3.839;32.53
147;5.622;11.39;3.86;32.57
148;5.645;11.45;3.87;32.75
149;5.649;11.5;3.912;32.94
150;5.658;11.54;4.017;33.09
151;5.673;11.55;4.095;33.27
152;5.677;11.56;4.133;33.51
153;5.711;11.56;4.159;33.78
154;5.799;11.56;4.173;34.01
155;5.838;11.57;4.182;34.04
156;5.842;11.61;4.192;34.09
157;5.842;11.68;4.195;34.12
158;5.853;11.71;4.196;34.14
159;5.868;11.71;4.196;34.24
160;5.87;11.72;4.196;34.35
161;5.872;11.72;4.195;34.46
162;5.889;11.72;4.195;34.52
163;5.911;11.72;4.195;34.54
164;5.926;11.72;4.196;34.92
165;5.934;11.73;4.198;35.69
166;5.941;11.77;4.198;36.01
167;5.958;11.92;4.198;36.01
168;5.968;12.21;4.199;36.05
169;5.968;12.54;4.199;36.09
170;5.971;12.83;4.207;36.13
171;5.985;13.05;4.234;36.13
172;5.987;13.25;4.243;36.19
173;5.987;13.44;4.244;36.28
174;5.988;13.62;4.258;36.33
175;6.002;13.76;4.296;36.34
176;6.11;13.92;4.362;36.35
177;6.279;14.15;4.425;36.43
178;6.341;14.43;4.486;36.45
179;6.349;14.75;4.572;36.46
180;6.356;15.06;4.686;36.46
181;6.373;15.28;4.798;36.46
182;6.388;15.42;4.865;36.47
183;6.4;15.52;4.886;36.53
184;6.401;15.59;4.895;36.64
185;6.401;15.64;4.911;36.75
186;6.401;15.69;4.926;36.83
187;6.403;15.72;4.931;36.84
188;6.409;15.72;4.931;36.88
189;6.411;15.73;4.932;37.06
190;6.416;15.76;4.937;37.54
191;6.418;15.8;4.944;38.09
192;6.42;15.82;4.949;38.25
193;6.422;15.84;4.962;38.27
194;6.433;15.87;5.005;38.43
195;6.46;15.91;5.093;38.51
196;6.473;15.99;5.196;38.52
197;6.48;16.14;5.271;38.53
198;6.482;16.42;5.308;38.55
199;6.49;16.89;5.328;39.05
200;6.516;17.42;5.337;40.03
201;6.529;17.8;5.339;40.52
202;6.533;18.02;5.377;40.62
203;6.538;18.15;5.414;40.66
204;6.542;18.28;5.441;40.7
205;6.557;18.46;5.482;40.71
206;6.568;18.67;5.523;40.74
207;6.598;18.89;5.541;40.82
208;6.687;19.09;5.547;40.93
209;6.799;19.27;5.548;41.22
210;6.867;19.43;5.548;41.63
211;6.876;19.6;5.549;41.79
212;6.878;19.77;5.549;41.81
213;6.884;19.9;5.55;41.82
214;6.893;19.96;5.552;41.85
215;6.933;19.99;5.555;41.9
216;6.993;20.0;5.566;41.93
217;7.017;20.02;5.567;41.93
218;7.019;20.02;5.567;41.94
219;7.019;20.02;5.568;42.05
220;7.019;20.03;5.568;42.24
221;7.021;20.04;5.569;42.48
222;7.025;20.05;5.569;42.82
223;7.03;20.06;5.577;43.26
224;7.042;20.06;5.59;43.55
225;7.058;20.06;5.595;43.62
226;7.085;20.06;5.609;43.62
227;7.128;20.07;5.635;43.62
228;7.182;20.08;5.637;43.63
229;7.233;20.09;5.638;43.65
230;7.254;20.1;5.646;43.76
231;7.254;20.1;5.67;44.2
232;7.263;20.1;5.679;44.96
233;7.265;20.1;5.686;45.62
234;7.265;20.11;5.689;46.12
235;7.271;20.13;5.689;46.48
236;7.272;20.18;5.699;46.48
237;7.274;20.26;5.724;46.83
238;7.274;20.33;5.732;47.16
239;7.28;20.33;5.733;47.16
240;7.287;20.36;5.734;47.3
241;7.287;20.43;5.735;47.4
242;7.287;20.49;5.736;47.41
243;7.289;20.53;5.736;47.49
244;7.312;20.56;5.737;47.98
245;7.351;20.61;5.737;48.52
246;7.364;20.64;5.737;48.63
247;7.364;20.67;5.738;48.63
248;7.366;20.7;5.738;48.63
249;7.376;20.74;5.738;48.81
250;7.385;20.77;5.738;49.08
251;7.385;20.78;5.74;49.16
252;7.389;20.79;5.741;49.17
253;7.391;20.79;5.746;49.17
254;7.393;20.79;5.762;49.19
255;7.419;20.79;5.795;49.21
256;7.456;20.79;5.818;49.21
257;7.481;20.81;5.818;49.21
258;7.49;20.85;5.831;49.21
259;7.49;20.88;5.838;49.22
260;7.535;20.88;5.838;49.24
261;7.607;20.88;5.841;49.28
262;7.618;20.89;5.863;49.33
263;7.618;20.9;5.889;49.35
264;7.618;20.91;5.907;49.37
265;7.62;20.92;5.933;49.39
266;7.62;20.95;5.952;49.45
267;7.62;21.0;5.952;49.75
268;7.625;21.03;5.964;49.98
269;7.625;21.05;5.975;50.02
270;7.625;21.06;5.978;50.03
271;7.627;21.06;5.978;50.11
272;7.635;21.07;5.978;50.19
273;7.64;21.16;5.978;50.21
274;7.65;21.29;5.978;50.22
275;7.719;21.39;5.978;50.26
276;7.777;21.45;5.98;50.31
277;7.792;21.49;5.985;50.34
278;7.792;21.52;5.985;50.34
279;7.794;21.52;5.987;50.35
280;7.794;21.52;5.987;50.36
281;7.8;21.52;5.987;50.36
282;7.828;21.52;5.988;50.36
283;7.852;21.52;5.988;50.38
284;7.862;21.52;5.989;50.43
285;7.868;21.52;5.991;50.44
286;7.875;21.53;5.992;50.58
287;7.89;21.54;5.992;51.14
288;7.907;21.57;5.992;51.86
289;7.914;21.59;5.993;52.64
290;7.926;21.62;5.996;53.16
291;7.944;21.65;6.002;53.18
292;7.952;21.7;6.012;53.3
293;7.954;21.74;6.012;53.41
294;7.961;21.76;6.029;53.41
295;7.963;21.76;6.061;53.42
296;7.973;21.76;6.065;53.46
297;8.003;21.77;6.067;53.94
298;8.021;21.77;6.069;54.74
299;8.035;21.78;6.069;55.36
300;8.038;21.8;6.069;55.73
301;8.038;21.81;6.075;55.86
302;8.038;21.81;6.081;55.87
303;8.044;21.82;6.083;55.89
304;8.051;21.82;6.103;55.91
305;8.053;21.82;6.112;55.91
306;8.053;21.82;6.114;56.08
307;8.053;21.82;6.115;56.43
308;8.08;21.82;6.116;56.61
309;8.151;21.82;6.119;56.65
310;8.172;21.82;6.119;56.66
311;8.175;21.82;6.123;56.67
312;8.185;21.82;6.125;56.76
313;8.187;21.85;6.125;56.84
314;8.187;21.89;6.13;56.84
315;8.189;21.93;6.136;56.85
316;8.211;21.97;6.143;56.86
317;8.247;21.99;6.15;56.87
318;8.26;22.0;6.15;56.87
319;8.26;22.0;6.152;56.87
320;8.264;22.0;6.156;56.87
321;8.265;22.0;6.157;56.87
322;8.267;22.01;6.157;56.87
323;8.267;22.04;6.159;56.88
324;8.271;22.07;6.159;56.88
325;8.275;22.09;6.162;56.88
326;8.277;22.12;6.162;56.88
327;8.277;22.16;6.167;56.88
328;8.286;22.21;6.174;56.88
329;8.296;22.24;6.188;56.93
330;8.303;22.26;6.201;57.03
331;8.307;22.27;6.205;57.11
332;8.307;22.27;6.22;57.33
333;8.307;22.27;6.257;58.05
334;8.312;22.27;6.285;58.76
335;8.393;22.27;6.298;59.08
336;8.639;22.28;6.3;59.32
337;8.917;22.29;6.308;59.38
338;9.018;22.29;6.333;59.58
339;9.018;22.29;6.353;60.19
340;9.054;22.29;6.376;60.41
341;9.097;22.31;6.399;60.46
342;9.108;22.34;6.402;60.59
343;9.108;22.36;6.404;60.77
344;9.11;22.37;6.407;60.89
345;9.167;22.38;6.407;61.0
346;9.232;22.39;6.412;61.17
347;9.234;22.4;6.412;61.37
348;9.268;22.4;6.413;61.5
349;9.296;22.4;6.413;61.6
350;9.296;22.41;6.415;61.64
351;9.332;22.44;6.42;61.65
352;9.431;22.47;6.43;61.66
353;9.519;22.49;6.444;61.73
354;9.555;22.5;6.454;61.84
355;9.566;22.51;6.457;61.97
356;9.574;22.52;6.457;62.02
357;9.6;22.55;6.461;62.02
358;9.64;22.6;6.471;62.06
359;9.649;22.64;6.491;62.12
360;9.649;22.65;6.51;62.12
361;9.653;22.65;6.51;62.13
362;9.664;22.67;6.512;62.14
363;9.696;22.69;6.513;62.14
364;9.707;22.71;6.515;62.14
365;9.711;22.71;6.58;62.14
366;9.756;22.73;6.661;62.15
367;9.848;22.78;6.693;62.17
368;9.936;22.87;6.708;62.18
369;9.985;22.94;6.715;62.17
370;10.02;22.97;6.725;62.15
371;10.04;22.99;6.757;62.16
372;10.05;23.01;6.787;62.18
373;10.05;23.02;6.798;62.2
374;10.06;23.02;6.808;62.21
375;10.06;23.03;6.824;62.2
376;10.06;23.03;6.834;62.2
377;10.07;23.03;6.837;62.21
378;10.07;23.03;6.839;62.19
379;10.07;23.03;6.841;62.17
380;10.07;23.03;6.842;62.18
381;10.07;23.03;6.842;62.19
382;10.07;23.04;6.843;62.18
383;10.08;23.06;6.844;62.2
384;10.08;23.08;6.848;62.22
385;10.08;23.09;6.865;62.23
386;10.09;23.09;6.9;62.23
387;10.1;23.09;6.917;62.31
388;10.11;23.09;6.92;62.53
389;10.11;23.1;6.934;62.7
390;10.11;23.11;6.98;62.83
391;10.12;23.13;6.999;62.86
392;10.12;23.15;7.0;62.91
393;10.12;23.15;7.012;63.36
394;10.12;23.16;7.025;63.6
395;10.12;23.19;7.032;63.61
396;10.12;23.3;7.035;63.59
397;10.13;23.43;7.036;63.58
398;10.13;23.55;7.036;63.58
399;10.13;23.64;7.037;63.58
400;10.13;23.71;7.037;63.59
401;10.13;23.76;7.038;63.59
402;10.14;23.79;7.038;63.6
403;10.14;23.8;7.039;63.61
404;10.14;23.8;7.039;63.66
405;10.14;23.8;7.04;63.74
406;10.14;23.8;7.043;63.83
407;10.15;23.81;7.046;63.93
408;10.15;23.83;7.049;63.99
409;10.15;23.85;7.051;63.99
410;10.15;23.87;7.051;64.03
411;10.16;23.89;7.051;64.26
412;10.17;23.91;7.052;64.85
413;10.17;23.93;7.056;65.53
414;10.18;23.95;7.06;65.98
415;10.18;23.96;7.069;66.19
416;10.19;23.97;7.085;66.19
417;10.19;23.99;7.098;66.27
418;10.19;23.99;7.12;66.45
419;10.2;24.0;7.155;66.48
420;10.2;24.01;7.164;66.45
421;10.2;24.02;7.164;66.45
422;10.2;24.02;7.164;66.49
423;10.2;24.02;7.167;66.5
424;10.2;24.02;7.17;66.5
425;10.2;24.02;7.17;66.5
426;10.21;24.02;7.174;66.5
427;10.21;24.03;7.187;66.47
428;10.22;24.04;7.192;66.43
429;10.23;24.06;7.193;66.38
430;10.27;24.08;7.193;66.36
431;10.31;24.11;7.194;66.46
432;10.36;24.15;7.206;66.56
433;10.43;24.23;7.226;66.55
434;10.46;24.34;7.245;66.78
435;10.46;24.41;7.261;66.92
436;10.53;24.44;7.265;66.92
437;10.63;24.45;7.266;66.94
