;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;4.181;4.498;2.46;12.16
1;4.211;4.53;2.479;14.9
2;4.218;4.531;2.5;18.47
3;4.306;4.566;2.503;20.78
4;4.376;4.587;2.503;21.48
5;4.385;4.609;2.506;21.48
6;4.387;5.014;2.518;22.36
7;4.404;5.955;2.523;25.63
8;4.404;6.645;2.526;28.99
9;4.442;6.718;2.544;30.15
10;4.488;6.84;2.551;30.28
11;4.502;7.283;2.551;30.3
12;4.519;7.698;2.551;30.33
13;4.539;7.95;2.552;30.37
14;4.547;8.09;2.591;30.4
15;4.547;8.167;2.664;30.43
16;4.554;8.204;2.665;30.47
17;4.573;8.225;2.735;30.52
18;4.61;8.233;2.838;30.56
19;4.77;8.233;2.868;30.64
20;5.251;8.245;2.869;30.73
21;6.035;8.255;2.873;30.76
22;6.749;8.257;2.888;30.76
23;7.098;8.257;2.9;30.77
24;7.227;8.257;2.905;30.8
25;7.265;8.257;2.91;30.99
26;7.299;8.26;2.913;31.5
27;7.595;8.269;2.916;32.48
28;7.697;8.277;2.922;34.17
29;7.717;8.28;2.924;36.53
30;7.789;8.281;2.934;38.82
31;7.841;8.296;2.937;39.67
32;7.864;8.447;2.964;39.68
33;7.879;8.954;2.999;40.3
34;7.948;9.609;2.999;40.96
35;7.954;9.926;3.0;41.46
36;7.958;9.955;3.001;41.87
37;7.958;9.966;3.013;42.06
38;7.963;10.01;3.064;42.07
39;8.066;10.04;3.113;42.13
40;8.17;10.06;3.143;42.34
41;8.228;10.06;3.163;42.46
42;8.378;10.06;3.168;42.53
43;8.566;10.06;3.169;42.92
44;8.737;10.06;3.181;43.53
45;9.189;10.08;3.224;43.54
46;9.411;10.18;3.314;44.41
47;9.668;10.26;3.36;46.22
48;10.7;10.26;3.362;47.58
49;11.5;10.28;3.397;48.56
50;12.49;10.29;3.424;49.55
51;13.24;10.3;3.455;50.52
52;13.36;10.3;3.489;51.25
53;13.4;10.3;3.501;51.66
54;13.5;10.3;3.507;51.83
55;13.56;10.3;3.509;51.88
56;13.71;10.3;3.511;51.88
57;14.04;10.3;3.511;51.89
58;14.11;10.31;3.524;51.9
59;14.12;10.34;3.543;51.94
60;14.16;10.34;3.557;51.98
61;14.18;10.35;3.567;52.02
62;14.21;10.39;3.57;52.06
63;14.27;10.45;3.622;52.07
64;14.29;10.48;3.682;52.07
65;14.43;10.49;3.747;52.07
66;14.73;10.49;3.84;52.11
67;14.74;10.5;3.881;52.11
68;14.79;10.53;3.881;52.29
69;14.79;10.59;3.882;52.94
70;14.79;10.62;3.901;53.63
71;14.8;10.63;3.906;53.99
72;14.83;10.65;3.933;54.17
73;14.83;10.67;4.052;54.22
74;14.85;10.67;4.218;54.26
75;14.85;10.67;4.381;54.52
76;14.9;10.67;4.494;54.64
77;14.91;10.69;4.52;54.64
78;14.95;10.79;4.526;54.7
79;15.04;10.97;4.563;54.83
80;15.06;11.16;4.579;54.94
81;15.06;11.26;4.604;54.94
82;15.06;11.27;4.818;55.31
83;15.07;11.27;5.362;56.02
84;15.07;11.29;5.837;56.35
85;15.09;11.42;6.013;56.4
86;15.12;11.66;6.029;56.41
87;15.13;11.83;6.035;56.41
88;15.13;11.93;6.057;56.44
89;15.15;12.0;6.08;56.59
90;15.18;12.04;6.12;56.97
91;15.18;12.05;6.198;57.8
92;15.26;12.05;6.255;59.17
93;15.64;12.06;6.263;60.52
94;15.92;12.06;6.263;61.11
95;15.92;12.1;6.263;61.14
96;15.98;12.18;6.266;61.17
97;15.99;12.25;6.28;61.17
98;16.0;12.26;6.297;61.18
99;16.03;12.27;6.313;61.18
100;16.03;12.31;6.352;61.22
101;16.24;12.44;6.393;61.33
102;16.47;12.49;6.397;61.65
103;16.51;12.52;6.397;64.03
104;16.51;12.62;6.4;65.72
105;16.51;12.62;6.406;65.94
106;16.53;12.7;6.42;65.94
107;16.59;12.8;6.449;65.95
108;16.62;12.85;6.465;65.95
109;16.62;12.85;6.47;65.97
110;16.62;12.86;6.471;66.02
111;16.62;12.87;6.478;66.05
112;16.62;12.87;6.505;66.08
113;16.62;12.88;6.517;66.08
114;16.62;12.88;6.521;66.31
115;16.63;12.89;6.531;67.04
116;16.63;12.89;6.537;68.03
117;16.65;12.9;6.54;69.0
118;16.69;12.94;6.548;69.55
119;16.69;13.04;6.558;69.62
120;16.7;13.21;6.559;69.7
121;16.71;13.48;6.559;70.13
122;16.72;13.78;6.562;70.8
123;16.74;13.98;6.563;71.47
124;16.77;14.04;6.574;71.92
125;16.78;14.04;6.604;72.05
126;16.78;14.08;6.619;72.06
127;16.8;14.18;6.624;72.06
128;16.83;14.25;6.626;72.06
129;16.83;14.27;6.626;72.06
130;16.83;14.27;6.628;72.08
131;16.84;14.28;6.629;72.1
132;16.85;14.29;6.632;72.1
133;16.85;14.3;6.633;72.12
134;16.86;14.33;6.633;72.21
135;16.89;14.36;6.633;72.27
136;16.9;14.41;6.634;72.28
137;16.9;14.49;6.636;72.28
138;16.93;14.59;6.637;72.28
139;16.96;14.65;6.638;72.31
140;16.96;14.67;6.64;72.35
141;17.05;14.68;6.64;72.44
142;17.07;14.68;6.64;72.64
143;17.11;14.69;6.64;72.7
144;17.18;14.72;6.641;72.71
145;17.18;14.76;6.642;72.72
146;17.18;14.76;6.643;72.72
147;17.18;14.77;6.656;72.72
148;17.27;14.77;6.662;72.73
149;17.57;14.78;6.662;72.79
150;17.69;14.79;6.662;72.79
151;17.7;14.79;6.664;72.91
152;17.81;14.81;6.673;73.02
153;17.89;14.83;6.69;73.13
154;17.98;14.83;6.695;73.22
155;18.04;14.83;6.698;73.26
156;18.04;14.83;6.735;73.27
157;18.05;14.84;6.782;73.29
158;18.05;14.85;6.782;73.32
159;18.06;14.86;6.786;73.32
160;18.06;14.87;6.787;73.32
161;18.06;14.87;6.798;73.37
162;18.07;14.88;6.818;73.46
163;18.12;14.88;6.833;73.53
164;18.15;14.9;6.837;73.57
165;18.15;14.94;6.852;73.57
166;18.18;15.05;6.87;73.62
167;18.27;15.21;6.87;73.76
168;18.35;15.27;6.878;73.79
169;18.48;15.27;6.881;73.82
170;18.55;15.32;6.883;73.99
171;18.56;15.39;6.884;74.29
172;18.61;15.44;6.885;74.53
173;18.61;15.44;6.885;74.56
174;18.61;15.44;6.886;74.59
175;18.63;15.44;6.9;74.64
176;18.63;15.47;6.916;74.64
177;18.65;15.56;6.916;74.65
178;18.67;15.64;6.918;74.66
179;18.67;15.7;6.919;74.66
180;18.74;15.75;6.922;74.66
181;18.8;15.77;6.928;74.7
182;18.82;15.78;6.935;74.75
183;18.82;15.78;6.94;74.79
184;18.83;15.78;6.942;74.83
185;18.83;15.79;6.943;74.83
186;18.83;15.79;6.943;74.93
187;18.83;15.79;6.945;75.17
188;18.85;15.79;6.949;75.37
189;18.86;15.79;6.951;75.46
190;18.86;15.79;6.951;75.47
191;18.86;15.79;6.951;75.48
192;18.86;15.79;6.951;75.58
