;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.01;3.21;2.534;1.151
1;12.11;3.213;2.534;1.151
2;12.21;3.215;2.534;1.151
3;12.21;3.219;2.537;1.151
4;12.24;3.219;2.544;1.149
5;12.24;3.22;2.545;1.149
6;12.26;3.22;2.545;1.149
7;12.32;3.22;2.547;1.151
8;12.36;3.22;2.549;1.154
9;12.37;3.224;2.558;1.159
10;12.4;3.224;2.585;1.159
11;12.4;3.222;2.593;1.159
12;12.41;3.22;2.595;1.159
13;12.41;3.217;2.601;1.162
14;12.43;3.219;2.604;1.162
15;12.45;3.22;2.61;1.162
16;12.47;3.222;2.635;1.159
17;12.49;3.226;2.665;1.159
18;12.49;3.238;2.668;1.159
19;12.49;3.256;2.669;1.17
20;12.51;3.266;2.669;1.183
21;12.52;3.272;2.671;1.188
22;12.52;3.273;2.683;1.191
23;12.53;3.275;2.717;1.191
24;12.86;3.277;2.727;1.193
25;13.68;3.281;2.745;1.193
26;14.35;3.284;2.799;1.193
27;14.65;3.288;2.836;1.193
28;14.77;3.289;2.852;1.191
29;14.82;3.289;2.854;1.188
30;14.82;3.289;2.855;1.188
31;14.88;3.289;2.855;1.191
32;15.04;3.289;2.858;1.196
33;15.31;3.293;2.859;1.204
34;15.66;3.302;2.86;1.212
35;15.96;3.314;2.88;1.219
36;16.2;3.323;2.909;1.222
37;16.43;3.334;2.912;1.225
38;16.61;3.343;2.912;1.225
39;16.74;3.346;2.915;1.222
40;16.86;3.35;2.919;1.219
41;16.9;3.35;2.919;1.219
42;16.95;3.35;2.92;1.222
43;17.06;3.35;2.919;1.227
44;17.15;3.353;2.93;1.238
45;17.16;3.362;2.965;1.246
46;17.17;3.373;3.003;1.248
47;17.22;3.385;3.034;1.248
48;17.28;3.399;3.034;1.251
49;17.31;3.406;3.098;1.256
50;17.32;3.41;3.169;1.264
51;17.33;3.41;3.186;1.269
52;17.33;3.413;3.19;1.269
53;17.33;3.419;3.192;1.272
54;17.35;3.422;3.215;1.285
55;17.39;3.424;3.227;1.29
56;17.39;3.426;3.227;1.29
57;17.42;3.431;3.227;1.293
58;17.44;3.433;3.229;1.306
59;17.44;3.433;3.233;1.327
60;17.45;3.431;3.244;1.356
61;17.51;3.429;3.244;1.387
62;17.53;3.429;3.267;1.41
63;17.55;3.427;3.299;1.426
64;17.57;3.427;3.302;1.434
65;17.57;3.427;3.301;1.442
66;17.61;3.427;3.304;1.447
67;17.63;3.427;3.307;1.45
68;17.63;3.426;3.31;1.45
69;17.68;3.426;3.314;1.46
70;17.75;3.426;3.315;1.481
71;17.76;3.426;3.317;1.494
72;17.76;3.426;3.331;1.499
73;17.76;3.431;3.363;1.505
74;17.76;3.433;3.401;1.507
75;17.76;3.433;3.409;1.507
76;17.76;3.433;3.409;1.507
77;17.78;3.433;3.41;1.507
78;17.78;3.433;3.41;1.515
79;17.78;3.436;3.41;1.536
80;17.78;3.438;3.411;1.57
81;17.78;3.442;3.421;1.609
82;17.79;3.443;3.432;1.651
83;17.78;3.445;3.436;1.68
84;17.78;3.449;3.443;1.693
85;17.78;3.451;3.448;1.696
86;17.78;3.454;3.451;1.693
87;17.81;3.458;3.456;1.696
88;17.93;3.456;3.456;1.696
89;17.98;3.451;3.455;1.706
90;17.98;3.445;3.455;1.753
91;17.99;3.445;3.456;1.816
92;17.99;3.445;3.456;1.85
93;18.01;3.445;3.459;1.866
94;18.04;3.445;3.462;1.874
95;18.11;3.445;3.473;1.876
96;18.23;3.447;3.515;1.895
97;18.33;3.447;3.553;1.934
98;18.34;3.451;3.604;1.97
99;18.36;3.461;3.639;2.007
100;18.37;3.472;3.643;2.054
101;18.39;3.472;3.642;2.112
102;18.4;3.472;3.645;2.156
103;18.4;3.47;3.653;2.188
104;18.4;3.47;3.658;2.232
105;18.4;3.47;3.664;2.284
106;18.41;3.472;3.67;2.324
107;18.41;3.474;3.67;2.337
108;18.41;3.474;3.672;2.337
109;18.42;3.474;3.672;2.342
110;18.42;3.474;3.687;2.347
111;18.45;3.475;3.706;2.35
112;18.45;3.475;3.719;2.355
113;18.45;3.474;3.729;2.358
114;18.45;3.468;3.731;2.358
115;18.46;3.465;3.737;2.358
116;18.46;3.461;3.756;2.36
117;18.47;3.456;3.76;2.36
118;18.48;3.451;3.76;2.366
119;18.48;3.447;3.759;2.407
120;18.59;3.442;3.758;2.515
121;18.77;3.438;3.761;2.617
122;18.88;3.435;3.764;2.677
123;18.93;3.435;3.764;2.695
124;18.95;3.433;3.766;2.695
125;18.95;3.435;3.766;2.701
126;18.97;3.447;3.766;2.721
127;18.98;3.459;3.769;2.769
128;18.98;3.47;3.785;2.863
129;18.99;3.475;3.791;2.978
130;19.03;3.475;3.791;3.054
131;19.17;3.475;3.793;3.09
132;19.53;3.475;3.808;3.119
133;19.92;3.474;3.811;3.148
134;20.11;3.472;3.819;3.174
135;20.16;3.47;3.851;3.216
136;20.16;3.468;3.863;3.253
137;20.17;3.475;3.87;3.253
138;20.25;3.5;3.905;3.3
139;20.64;3.544;3.923;3.402
140;21.18;3.599;3.928;3.522
141;21.26;3.647;3.938;3.664
142;21.33;3.69;3.964;3.781
143;21.39;3.721;3.985;3.823
144;21.4;3.725;3.985;3.828
145;21.42;3.728;4.004;3.831
146;21.41;3.744;4.01;3.878
147;21.41;3.767;4.009;3.959
148;21.41;3.783;4.008;3.972
149;21.41;3.787;4.009;4.001
150;21.42;3.789;4.009;4.174
151;21.42;3.805;4.021;4.464
152;21.42;3.849;4.061;4.742
153;21.42;3.881;4.08;4.899
154;21.42;3.886;4.081;4.938
155;21.43;3.886;4.081;4.943
156;21.46;3.888;4.081;5.074
157;21.47;3.9;4.081;5.354
158;21.5;3.93;4.082;5.697
159;21.59;3.957;4.082;6.05
160;21.7;3.973;4.084;6.296
161;21.79;3.98;4.089;6.367
162;21.84;3.98;4.089;6.369
163;21.85;3.989;4.091;6.469
164;21.89;4.017;4.093;6.675
165;21.99;4.044;4.093;6.84
166;22.32;4.056;4.095;6.937
167;23.13;4.061;4.103;6.99
168;23.83;4.061;4.106;7.0
169;24.04;4.061;4.106;7.0
170;24.07;4.061;4.107;7.003
171;24.09;4.061;4.114;7.005
172;24.48;4.061;4.115;7.005
173;25.52;4.061;4.139;7.005
174;26.67;4.061;4.175;7.008
175;27.22;4.061;4.189;7.013
176;27.29;4.061;4.193;7.021
177;27.29;4.061;4.194;7.024
178;27.29;4.061;4.193;7.024
179;27.36;4.061;4.215;7.024
180;27.49;4.065;4.245;7.031
181;27.51;4.074;4.245;7.047
182;27.52;4.083;4.258;7.076
183;27.55;4.086;4.298;7.092
184;27.64;4.093;4.326;7.092
185;27.87;4.104;4.326;7.126
186;28.18;4.107;4.34;7.181
187;28.41;4.107;4.341;7.22
188;28.52;4.109;4.344;7.235
189;28.59;4.107;4.354;7.241
190;28.62;4.107;4.362;7.241
191;28.62;4.111;4.364;7.249
192;28.71;4.127;4.364;7.27
193;28.89;4.132;4.365;7.288
194;29.0;4.136;4.393;7.296
195;29.01;4.139;4.416;7.296
196;29.01;4.136;4.416;7.296
197;29.01;4.134;4.423;7.301
198;29.1;4.139;4.431;7.356
199;29.3;4.148;4.45;7.487
200;29.37;4.153;4.471;7.623
201;29.37;4.153;4.476;7.675
202;29.38;4.153;4.476;7.675
203;29.41;4.171;4.483;7.704
204;29.48;4.199;4.499;7.769
205;29.57;4.228;4.501;7.921
206;29.7;4.254;4.505;8.259
207;29.76;4.277;4.506;8.724
208;29.76;4.297;4.509;9.112
209;29.77;4.304;4.514;9.313
210;29.81;4.304;4.515;9.373
211;29.97;4.304;4.515;9.373
212;30.16;4.3;4.521;9.389
213;30.31;4.295;4.551;9.444
214;30.42;4.291;4.572;9.515
215;30.45;4.286;4.573;9.57
216;30.47;4.286;4.574;9.614
217;30.51;4.286;4.578;9.667
218;30.52;4.283;4.578;9.732
219;30.52;4.276;4.584;9.763
220;30.5;4.272;4.596;9.763
221;30.5;4.268;4.598;9.763
222;30.64;4.267;4.595;9.776
223;30.75;4.267;4.594;9.8
224;30.75;4.268;4.598;9.803
225;30.74;4.27;4.624;9.805
226;30.8;4.276;4.657;9.839
227;30.92;4.29;4.663;9.952
228;31.03;4.295;4.667;10.03
229;31.31;4.295;4.684;10.07
230;31.75;4.297;4.693;10.21
231;31.86;4.299;4.694;10.4
232;31.89;4.302;4.693;10.44
233;31.99;4.3;4.696;10.46
234;31.99;4.339;4.726;10.55
235;32.34;4.422;4.741;10.59
236;32.98;4.465;4.744;10.61
237;33.46;4.474;4.76;10.74
238;33.72;4.474;4.764;10.79
